Name,Artists,Main Artist,Year,Album,New Path
Earn It,feb,feb,2022-04-29,Earn It,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\feb\Earn It\243 - feb - Earn It.mp3
Source,Fever The Ghost,Fever The Ghost,2014-10-06,Crab in Honey,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\Fever The Ghost\Crab in Honey\208 - Fever The Ghost - Source.mp3
I'm In Love With a Monster,Fifth Harmony,Fifth Harmony,2015-08-14,I'm In Love With a Monster,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\Fifth Harmony\I'm In Love With a Monster\233 - Fifth Harmony - I'm In Love With a Monster.mp3
Atmosphere,Fisher,Fisher,2023-08-11,Atmosphere,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\Fisher\Atmosphere\292 - Fisher - Atmosphere.mp3
Losing It (Radio Edit),Fisher,Fisher,2018-10-25,Losing It (Radio Edit),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\Fisher\Losing It (Radio Edit)\291 - Fisher - Losing It (Radio Edit).mp3
TAKE IT OFF,Fisher,Fisher,2023-06-23,TAKE IT OFF,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\Fisher\TAKE IT OFF\109 - Fisher - TAKE IT OFF.mp3
Head In The Ocean,FoundSound,FoundSound,2023-07-14,Head In The Ocean,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\F\FoundSound\Head In The Ocean\211 - FoundSound - Head In The Ocean.mp3
Baby again..,Fred again..,Fred again..,2023-03-17,Baby again..,
Coca-Cola,Gabry Ponte,Gabry Ponte,2023-02-24,Coca-Cola,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Gabry Ponte\Coca-Cola\272 - Gabry Ponte - Coca-Cola.mp3
Easy On My Heart,Gabry Ponte,Gabry Ponte,2023-09-01,Easy On My Heart,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Gabry Ponte\Easy On My Heart\170 - Gabry Ponte - Easy On My Heart.mp3
